Stock_Code,Issuer_Chi,First_Trade_Board,Total_Return_%,CAGR_Total_Return_%,CAGR_Relative_Return_%,Tags_Count,Total_Hits,Total_Positive_Sentiment,Total_Negative_Sentiment,Tag_Index
2246,快狗打車,6/24/2022,-74.7,-93.66,-92.6,0,0,31.62766581773758,3.3723341822624207,0
6611,三巽集團,7/19/2021,-95.92,-89.33,-86.92,0,0,0,0,0
2347,友和集團,6/10/2022,-57.62,-79.81,-76.54,0,0,20.374163508415222,3.625836491584778,0
587,海螺環保,3/30/2022,-68.78,-79.54,-76.9,0,0,33.37974852323532,0.620251476764679,0
2216,堃博醫療－Ｂ,9/24/2021,-84.93,-78.11,-74.87,0,0,0,0,0
6900,上坤地產,11/17/2020,-95.04,-76.12,-73.35,0,0,35.340812146663666,3.6591878533363342,0
2251,鷹瞳科技－Ｂ,11/5/2021,-79.44,-75.32,-70.49,0,0,0,0,0
1429,天任集團,9/29/2020,-94.7,-73.19,-71.9,0,0,18.170508801937103,1.8294911980628967,0
2197,三葉草生物－Ｂ,11/5/2021,-76.89,-72.62,-67.27,0,0,0,0,0
2209,喆麗控股,7/9/2021,-84.78,-72.55,-66.52,0,0,22.047496020793915,14.952503979206085,0
1228,北海康成－Ｂ,12/10/2021,-72.47,-71.25,-66.34,0,0,0,0,0
2599,祥生控股集團,11/18/2020,-92.23,-70.47,-66.98,0,0,34.67779380083084,3.322206199169159,0
2158,醫渡科技,1/15/2021,-90.43,-70.25,-65.08,0,0,31.2897367477417,1.7102632522583008,0
2125,稻草熊娛樂,1/15/2021,-90.37,-70.15,-64.97,0,0,34.640850484371185,23.359149515628815,0
6999,領地控股,12/10/2020,-90.86,-69.15,-65.44,0,0,31.5200537443161,0.4799462556838989,0
2370,力高健康生活,3/31/2022,-57.53,-69.01,-65.25,0,0,34.57126581668854,4.428734183311462,0
2256,和譽－Ｂ,10/13/2021,-75,-68.86,-62.64,0,0,0,0,0
2165,領悅服務集團,7/12/2021,-81.38,-68.68,-61.6,0,0,0,0,0
9956,安能物流,11/11/2021,-72.55,-68.66,-61.95,0,0,60.82135611772537,2.1786438822746277,0
2185,百心安－Ｂ,12/23/2021,-68.51,-68.53,-64.16,0,0,0,0,0
6628,創勝集團－Ｂ,9/29/2021,-75,-67.54,-62.11,0,0,0,0,0
2190,歸創通橋－Ｂ,7/5/2021,-79.47,-66,-57.89,0,0,0,0,0
2103,新力控股集團,11/15/2019,-86.33,-65.94,-65.4,0,0,42.921205937862396,8.078794062137604,0
6998,嘉和生物－Ｂ,10/7/2020,-90.52,-65.57,-63.23,0,0,0,0,0
6663,國際永勝集團,3/7/2022,-57.22,-65.56,-64.02,0,0,0,0,0
2160,心通醫療－Ｂ,2/4/2021,-86.4,-65.38,-58.83,0,0,0,0,0
2170,貝康醫療－Ｂ,2/8/2021,-86.1,-65.19,-58.37,0,0,0,0,0
2177,優趣匯控股,7/12/2021,-78.06,-64.91,-56.99,0,0,0,0,0
1490,車市科技,1/15/2021,-86.67,-64.69,-58.56,0,0,0,0,0
6666,恒大物業,12/2/2020,-73.8,-64.61,-59.35,0,0,33.9392215013504,2.060778498649597,0
1408,濠江機電,9/11/2020,-90.58,-64.5,-62.04,0,0,8.304136216640472,1.6958637833595276,0
9968,滙景控股,1/16/2020,-95.15,-64.33,-60.66,0,0,30.40013587474823,3.59986412525177,0
