Stock_Code,Issuer_Chi,First_Trade_Board,Total_Return_%,CAGR_Total_Return_%,CAGR_Relative_Return_%,Tags_Count,Total_Hits,Total_Positive_Sentiment,Total_Negative_Sentiment,Tag_Index
2325,雲康集團,5/18/2022,88.11,186.86,194.6,0,0,31.751828372478485,10.248171627521515,0
1735,中環控股,3/29/2018,4911.92,128.52,141.63,0,0,7.858134567737579,0.14186543226242065,0
1855,中慶股份,1/6/2021,363.41,118.64,151.78,0,0,0,0,0
1942,MOG HOLDINGS,4/15/2020,676.37,114.32,123.32,0,0,5.059801459312439,1.940198540687561,0
2296,華記環球集團,11/21/2019,332.01,108.37,106.95,0,0,9.147844851016998,0.8521551489830017,0
1967,信懇智能,10/18/2019,900,106.22,120.37,0,0,7.42382025718689,3.5761797428131104,0
9913,智勤控股,8/14/2020,408.24,99.31,114.67,0,0,27.797832548618317,1.2021674513816833,0
2169,滄港鐵路,10/23/2020,289.49,87.36,102.69,0,0,7.42382025718689,3.5761797428131104,0
1563,友聯租賃,3/15/2019,832.53,80.65,93.91,0,0,1.791900873184204,0.2080991268157959,0
1795,亞東集團,11/18/2020,241.19,79.67,100.92,0,0,2.7116608023643494,0.28833919763565063,0
1463,C-LINK SQ,3/27/2020,394.19,79.14,84.97,0,0,6.584157466888428,2.4158425331115723,0
6928,萬馬控股,12/23/2019,427.85,74.09,89.59,0,0,0,0,0
2187,智欣集團控股,3/26/2021,160.38,73.1,105.85,0,0,0,0,0
2130,嘉泓物流,10/15/2020,230.45,72.7,84.01,0,0,33.9061199426651,0.0938800573348999,0
8446,ITP HOLDINGS,6/14/2017,1354.24,62.34,65.02,0,0,3.261880099773407,0.738119900226593,0
1772,贛鋒鋰業,10/11/2018,644.96,61.31,65.94,0,0,37.15302801132202,1.8469719886779785,0
1797,新東方在綫,3/28/2019,457.84,58.35,69.54,0,0,32.28486680984497,1.7151331901550293,0
2273,固生堂,12/10/2021,60.52,57.98,84.92,0,0,37.80218631029129,4.19781368970871,0
6908,宏光半導體,11/13/2019,294.74,55.5,66.08,0,0,39.32206594944,5.677934050559998,0
1692,登輝控股,10/25/2019,281.54,52.72,63.27,0,0,35.412702023983,1.5872979760169983,0
2423,貝殼－Ｗ,5/11/2022,27.97,48.97,43.68,0,0,6.518607497215271,0.481392502784729,0
1442,INFINITY L&T,1/21/2020,211.08,47.47,61.07,0,0,5.575236737728119,1.424763262271881,0
1084,綠新親水膠體,10/17/2019,212.13,42.97,53.03,0,0,34.93378949165344,0.06621050834655762,0
8645,米虫元宇宙,12/9/2019,185.71,41.26,51.11,0,0,0,0,0
1440,DEYUN HOLDING,1/13/2021,92.77,40.23,63.38,0,0,2.8124900460243225,1.1875099539756775,0
1034,富匯國際集團控股,10/30/2018,302.17,39.87,43.2,0,0,7.9790284633636475,0.02097153663635254,0
8418,傲迪瑪汽車,10/11/2019,190.32,39.52,48.44,0,0,7.42382025718689,3.5761797428131104,0
1660,兆邦基地產,2/10/2017,585.48,38.85,38.53,0,0,43.85242486000061,8.14757513999939,0
1725,香港航天科技,8/16/2018,309.66,38.26,44.22,0,0,31.057918429374695,0.9420815706253052,0
2269,藥明生物,6/13/2017,473.98,37.18,39.44,0,0,30.546753585338593,1.4532464146614075,0
8402,GT STEEL GROUP,11/17/2017,325.86,35.24,42.76,0,0,2.604319930076599,0.3956800699234009,0
1755,新城悅服務,11/6/2018,244.52,34.93,40.06,0,0,40.45996570587158,4.540034294128418,0
8617,永聯豐控股,11/15/2019,152.62,34.78,43.63,0,0,0,0,0
1709,德林控股,9/27/2017,371.57,34.46,39.06,0,0,30.640782415866852,1.3592175841331482,0
8395,齊家控股,1/25/2018,325.22,34.29,44.02,0,0,0,0,0
3316,濱江服務,3/15/2019,203.26,34.16,44.01,0,0,20.23651546239853,2.763484537601471,0
6078,海吉亞醫療,6/29/2020,105.48,33.64,41,0,0,42.90714591741562,9.092854082584381,0
3390,滿貫集團,4/15/2020,113.99,32.71,38.28,0,0,35.19276350736618,6.80723649263382,0
9979,綠城管理控股,7/10/2020,96.89,31.81,42.71,0,0,19.429000794887543,6.570999205112457,0
2448,恆宇集團,1/16/2018,288.89,31.69,40.43,0,0,0.9987261891365051,0.001273810863494873,0
1183,澳能建設,2/13/2018,278.11,31.5,38.57,0,0,31.565565586090088,1.434434413909912,0
3738,阜博集團,1/4/2018,287.1,31.33,38.96,0,0,35.454374611377716,2.545625388622284,0
1729,匯聚科技,2/13/2018,271.91,31.05,38.1,0,0,53.90649449825287,0.09350550174713135,0
2225,今海國際,10/17/2017,294.55,30.32,35.77,0,0,23.637988448143005,4.362011551856995,0
1789,愛康醫療,12/20/2017,275.65,30.25,36.44,0,0,31.94748365879059,3.0525163412094116,0
1995,旭輝永升服務,12/17/2018,176.67,28.84,34,0,0,38.92006951570511,0.07993048429489136,0
2359,藥明康德,12/13/2018,172.65,28.28,33.97,0,0,37.476771771907806,0.5232282280921936,0
1854,中國萬天控股,3/21/2019,146.43,27.12,36.49,0,0,31.595175743103027,6.404824256896973,0
9936,稀美資源,3/12/2020,93.6,26.81,32.63,0,0,29.213917076587677,2.786082923412323,0
9922,九毛九,1/15/2020,100.05,26.62,39.56,0,0,30.793330132961273,2.206669867038727,0
6055,中煙香港,6/12/2019,118,24.69,32.57,0,0,38.284994304180145,0.7150056958198547,0
1597,納泉能源科技,10/20/2020,60.39,24.27,33.53,0,0,17.863963663578033,0.13603633642196655,0
3690,美團－Ｗ,9/20/2018,152.17,24.27,30.24,0,0,0,0,0
9926,康方生物－Ｂ,4/24/2020,76.54,23.78,28.53,0,0,0,0,0
8391,基石科技控股,5/11/2018,165.08,23.5,31.75,0,0,5.010766506195068,0.9892334938049316,0
2270,德商產投服務,12/17/2021,23.81,23.4,40.26,0,0,8.905822157859802,0.09417784214019775,0
6093,和泓服務,7/12/2019,100.58,22.36,32.15,0,0,41.080993473529816,0.9190065264701843,0
1943,銀濤控股,6/28/2019,102.15,22.36,31.91,0,0,0,0,0
1691,ＪＳ環球生活,12/18/2019,83.06,22.21,32.96,0,0,11.50360906124115,0.4963909387588501,0
1283,高陞集團控股,10/18/2019,89.08,22.17,30.55,0,0,32.70787072181702,0.2921292781829834,0
2156,建發物業,12/31/2020,47.49,21.72,38.89,0,0,6.924461662769318,0.07553833723068237,0
1425,捷隆控股,11/28/2019,82.08,21.56,30.5,0,0,0,0,0
2337,眾誠能源,10/16/2017,174.64,21.51,26.55,0,0,0,0,0
6185,康希諾生物,3/28/2019,105.81,21.29,29.86,0,0,30.85768210887909,0.14231789112091064,0
9986,大山教育,7/15/2020,59.82,21.19,30.95,0,0,8.481390595436096,0.5186094045639038,0
2360,優品３６０,1/11/2019,106.59,20.18,25.62,0,0,10.260613143444061,0.7393868565559387,0
8017,捷利交易寶,9/28/2018,117.38,20.12,26.23,0,0,30.66808921098709,3.331910789012909,0
1412,雋思集團,1/16/2020,71.22,20.11,32.47,0,0,30.835935056209564,2.164064943790436,0
2400,心動公司,12/12/2019,73.27,19.89,29.06,0,0,43.91646134853363,8.08353865146637,0
3668,兗煤澳大利亞,12/6/2018,106.25,19.59,24.35,0,0,32.48874980211258,1.5112501978874207,0
6913,華南職業教育,7/13/2021,29,19.26,47.61,0,0,0,0,0
2013,微盟集團,1/15/2019,97.95,18.94,24.58,0,0,33.85579389333725,1.1442061066627502,0
1921,達力普控股,11/8/2019,70,18.51,28.19,0,0,32.039204478263855,10.960795521736145,0
3759,康龍化成,11/28/2019,67.53,18.31,27.01,0,0,42.84546762704849,0.15453237295150757,0
1820,濟豐包裝,12/21/2018,94.99,18.14,22.42,0,0,31.57036316394806,1.429636836051941,0
1741,日贏控股,10/16/2018,100,18.01,21.69,0,0,10.721269965171814,1.278730034828186,0
1481,竣球控股,12/11/2020,39.73,17.9,32.35,0,0,33.73271459341049,3.267285406589508,0
1801,信達生物,10/31/2018,97.23,17.8,20.89,0,0,36.56231862306595,0.4376813769340515,0
1969,中國春來,9/13/2018,101.15,17.75,22.92,0,0,34.03090262413025,3.969097375869751,0
1475,日清食品,12/11/2017,122.99,17.28,22.57,0,0,30.011099994182587,4.988900005817413,0
1209,華潤萬象生活,12/9/2020,37.85,17.07,31.33,0,0,30.607407867908478,7.392592132091522,0
1787,山東黃金,9/28/2018,93.44,16.86,22.8,0,0,36.55104464292526,3.4489553570747375,0
